0,1,2,3,4,5
1,Petroleum Engineering,Bachelors,"$92,300","$182,000",69%
2,Electrical Engineering & Computer Science (EECS),Bachelors,"$101,200","$152,300",46%
3,Applied Economics and Management,Bachelors,"$60,900","$139,600",67%
3,Operations Research,Bachelors,"$78,400","$139,600",52%
5,Public Accounting,Bachelors,"$60,000","$138,800",49%
6,Chemical Engineering/Materials Science & Engineering,Bachelors,"$74,500","$137,800",60%
7,Quantitative Business Analysis,Bachelors,"$67,900","$136,200",55%
8,Pharmacy,Bachelors,"$66,300","$133,200",79%
9,Aeronautics & Astronautics,Bachelors,"$74,000","$133,100",60%
10,Systems Engineering,Bachelors,"$74,000","$132,900",54%
11,Electrical Power Engineering,Bachelors,"$73,100","$130,700",67%
12,Actuarial Mathematics,Bachelors,"$61,900","$130,500",50%
13,Aerospace Studies,Bachelors,"$50,300","$130,300",-
14,Chemical Engineering,Bachelors,"$73,500","$128,900",56%
15,Actuarial Science,Bachelors,"$64,700","$128,700",42%
16,Information & Computer Science,Bachelors,"$70,300","$127,600",60%
17,Aeronautical Engineering,Bachelors,"$71,600","$125,900",64%
18,Operations & Information Systems Management,Bachelors,"$63,800","$125,100",31%
18,Political Economy,Bachelors,"$58,200","$125,100",34%
20,Marine Engineering,Bachelors,"$74,700","$125,000",64%
21,Computer Systems Engineering,Bachelors,"$74,600","$124,800",49%
22,Nuclear Engineering,Bachelors,"$73,100","$124,500",63%
23,Computer Science (CS) & Engineering,Bachelors,"$74,000","$124,000",44%
24,Corporate Accounting & Finance,Bachelors,"$61,200","$123,600",57%
25,Electrical & Computer Engineering (ECE),Bachelors,"$73,900","$123,300",49%
26,Computer Engineering (CE),Bachelors,"$74,600","$123,200",46%
27,Econometrics,Bachelors,"$60,700","$123,000",30%
28,Building Science,Bachelors,"$51,100","$122,500",51%
29,Mechatronics,Bachelors,"$70,200","$122,300",47%
30,Quantitative Economics,Bachelors,"$62,000","$121,900",45%
31,Foreign Affairs,Bachelors,"$52,200","$121,800",40%
31,Welding Engineering,Bachelors,"$76,900","$121,800",44%
33,Economics and Mathematics,Bachelors,"$65,000","$121,400",33%
33,Electrical Engineering (EE),Bachelors,"$71,800","$121,400",55%
35,Cognitive Science,Bachelors,"$64,100","$121,100",41%
35,Control Engineering,Bachelors,"$69,900","$121,100",63%
37,Geophysics,Bachelors,"$56,900","$120,600",46%
37,Pharmacology,Bachelors,"$55,000","$120,600",71%
39,Instrumentation & Control Engineering,Bachelors,"$69,000","$120,500",-
40,Computational & Applied Mathematics,Bachelors,"$69,700","$120,100",43%
40,Marine Transportation Management,Bachelors,"$67,800","$120,100",47%
42,Aerospace Engineering,Bachelors,"$70,700","$119,800",57%
43,Ocean Engineering (OE),Bachelors,"$65,100","$119,700",51%
44,Astronomy,Bachelors,"$54,300","$119,600",39%
44,Mechanical & Aeronautical Engineering,Bachelors,"$66,900","$119,600",60%
46,Chemical & Biomolecular Engineering,Bachelors,"$74,000","$118,700",48%
47,Computer Science (CS) & Mathematics,Bachelors,"$66,800","$118,500",43%
48,Bioscience,Bachelors,"$48,400","$118,300",-
49,Electrical & Electronics Engineering (EEE),Bachelors,"$71,300","$118,100",55%
50,Metallurgical Engineering,Bachelors,"$79,100","$117,700",55%
51,Aeronautical/Aerospace Engineering Technology,Bachelors,"$73,400","$117,500",58%
51,Materials Engineering,Bachelors,"$69,100","$117,500",48%
53,Accounting & Economics,Bachelors,"$61,600","$117,400",43%
54,Industrial & Systems Engineering,Bachelors,"$69,900","$117,300",49%
55,Optical Science & Engineering,Bachelors,"$67,600","$117,100",65%
56,Computer Science (CS),Bachelors,"$70,700","$116,500",42%
57,Biomedical Engineering (BME),Bachelors,"$67,700","$116,300",72%
58,Materials Science,Bachelors,"$62,700","$116,200",-
59,Electronics & Communications Engineering,Bachelors,"$61,500","$116,100",55%
59,Mining Engineering,Bachelors,"$75,200","$116,100",70%
61,Engineering,Bachelors,"$66,500","$116,000",59%
62,Applied Mathematics,Bachelors,"$64,400","$115,500",39%
62,Integrated Science & Technology,Bachelors,"$62,500","$115,500",56%
64,Petroleum Land Management,Bachelors,"$60,600","$115,400",70%
65,Bioengineering (BioE),Bachelors,"$67,400","$115,000",67%
66,Software Engineering,Bachelors,"$71,100","$114,700",42%
67,Operations Management & Information Systems,Bachelors,"$61,900","$114,500",39%
68,Statistics,Bachelors,"$63,700","$114,400",42%
69,Business Analysis,Bachelors,"$59,200","$114,300",49%
69,Computer & Information Science,Bachelors,"$60,100","$114,300",55%
71,Physics,Bachelors,"$62,300","$113,800",49%
72,Physics & Mathematics,Bachelors,"$61,500","$113,600",47%
73,Physics & Astronomy,Bachelors,"$54,000","$112,900",43%
74,Construction Engineering Management,Bachelors,"$64,800","$112,700",55%
75,Physician Assistant Studies,Bachelors,"$92,900","$112,200",86%
76,Mechanical Engineering (ME),Bachelors,"$67,600","$111,500",51%
77,Industrial Engineering (IE),Bachelors,"$68,300","$111,400",45%
78,Entrepreneurship & Marketing,Bachelors,"$48,500","$111,100",49%
78,Engineering Science,Bachelors,"$64,700","$111,100",45%
78,International Business & Finance,Bachelors,"$57,700","$111,100",42%
78,Materials Science & Engineering,Bachelors,"$69,200","$111,100",47%
82,Ceramic Engineering,Bachelors,"$66,300","$110,900",45%
82,International Economics,Bachelors,"$54,600","$110,900",49%
84,Information & Decision Sciences,Bachelors,"$60,600","$110,800",37%
85,Finance & Marketing,Bachelors,"$53,400","$110,700",45%
86,Telecommunications Engineering,Bachelors,"$59,800","$110,600",43%
87,Business & Economics,Bachelors,"$56,800","$110,500",44%
88,Mathematics & Statistics,Bachelors,"$59,800","$110,000",42%
89,Paper Science,Bachelors,"$72,400","$109,900",38%
90,Electronics Engineering,Bachelors,"$67,600","$109,700",61%
90,Engineering Physics,Bachelors,"$66,700","$109,700",48%
90,Industrial Distribution,Bachelors,"$60,700","$109,700",49%
93,Economics,Bachelors,"$58,200","$109,400",41%
94,Energy Management,Bachelors,"$64,000","$109,200",66%
94,Structural Engineering (SE),Bachelors,"$64,300","$109,200",66%
96,Managerial Economics,Bachelors,"$61,500","$109,100",41%
97,Automotive Engineering,Bachelors,"$60,500","$108,700",-
97,Business & Information Technology (IT),Bachelors,"$58,200","$108,700",46%
97,Japanese Language,Bachelors,"$50,000","$108,700",41%
100,Japanese Studies,Bachelors,"$49,200","$108,500",22%
101,Finance & Economics,Bachelors,"$59,800","$108,100",42%
102,Management Information Systems (MIS),Bachelors,"$61,200","$107,800",43%
103,Pharmaceutical Sciences (PS),Bachelors,"$50,200","$107,700",69%
104,Mechanical,Bachelors,"$66,800","$107,600",55%
105,Applied Physics,Bachelors,"$63,800","$107,500",56%
105,Information Management,Bachelors,"$61,300","$107,500",42%
107,Aeronautical Science & Engineering,Bachelors,"$54,300","$107,100",63%
108,Construction Project Management,Bachelors,"$57,400","$107,000",59%
108,Packaging Science,Bachelors,"$66,800","$107,000",37%
110,Industrial Engineering & Management,Bachelors,"$63,200","$106,900",57%
111,Asian Studies,Bachelors,"$44,000","$106,400",39%
111,Management Science,Bachelors,"$60,500","$106,400",41%
113,Accounting & Taxation,Bachelors,"$53,300","$105,700",43%
114,Manufacturing Engineering,Bachelors,"$65,800","$105,600",48%
115,Astrophysics,Bachelors,"$64,100","$105,400",65%
116,Engineering Management,Bachelors,"$65,800","$105,200",55%
117,Business Economics,Bachelors,"$54,900","$105,100",42%
117,Information Sciences and Technology,Bachelors,"$60,700","$105,100",40%
119,Information Systems Management,Bachelors,"$57,600","$104,800",44%
120,Finance & Investments,Bachelors,"$60,500","$104,400",41%
121,Environmental Health & Safety Management,Bachelors,"$58,300","$104,200",64%
121,Rhetoric,Bachelors,"$49,400","$104,200",46%
121,Strategic Management,Bachelors,"$62,800","$104,200",45%
124,Robotics & Automation,Bachelors,"$66,500","$104,100",-
125,Building Construction (BC),Bachelors,"$63,600","$104,000",52%
126,Accounting & Computer Systems,Bachelors,"$60,200","$103,800",42%
126,Construction Science,Bachelors,"$64,000","$103,800",63%
128,Polymer Science & Engineering,Bachelors,"$69,200","$103,700",27%
129,Computing,Bachelors,"$59,800","$103,500",50%
129,Information Security & Assurance,Bachelors,"$60,600","$103,500",41%
129,Civil Engineering (CE),Bachelors,"$61,700","$103,500",65%
132,Mathematics,Bachelors,"$59,600","$103,400",45%
132,Government,Bachelors,"$52,200","$103,400",49%
134,Biochemistry & Molecular Biology,Bachelors,"$50,500","$103,300",70%
